Areaname,STCOU,LND010200D
UNITED STATES,0,3794083.06
ALABAMA,1000,52419.02
"Autauga, AL",1001,604.45
"Baldwin, AL",1003,2026.93
"Barbour, AL",1005,904.52
"Bibb, AL",1007,626.16
"Blount, AL",1009,650.6
"Bullock, AL",1011,626.06
"Butler, AL",1013,777.92
"Calhoun, AL",1015,612.32
"Chambers, AL",1017,603.11
"Cherokee, AL",1019,599.95
"Chilton, AL",1021,700.76
"Choctaw, AL",1023,920.85
"Clarke, AL",1025,1252.51
"Clay, AL",1027,606
"Cleburne, AL",1029,561.02
"Coffee, AL",1031,680.48
"Colbert, AL",1033,623.61
"Conecuh, AL",1035,852.51
"Coosa, AL",1037,666.36
"Covington, AL",1039,1043.86
"Crenshaw, AL",1041,610.88
"Cullman, AL",1043,754.82
"Dale, AL",1045,562.67
"Dallas, AL",1047,993.37
"DeKalb, AL",1049,778.65
"Elmore, AL",1051,657.21
"Escambia, AL",1053,952.95
"Etowah, AL",1055,548.75
"Fayette, AL",1057,629.34
"Franklin, AL",1059,646.51
"Geneva, AL",1061,578.9
"Greene, AL",1063,659.93
"Hale, AL",1065,656.47
"Henry, AL",1067,568.33
"Houston, AL",1069,581.65
"Jackson, AL",1071,1126.77
"Jefferson, AL",1073,1123.8
"Lamar, AL",1075,605.47
"Lauderdale, AL",1077,718.78
"Lawrence, AL",1079,718.07
"Lee, AL",1081,615.55
"Limestone, AL",1083,607.08
"Lowndes, AL",1085,725.03
"Macon, AL",1087,613.24
"Madison, AL",1089,812.85
"Marengo, AL",1091,982.85
"Marion, AL",1093,743.57
"Marshall, AL",1095,623.16
"Mobile, AL",1097,1644.02
"Monroe, AL",1099,1034.53
"Montgomery, AL",1101,799.76
"Morgan, AL",1103,599.06
"Perry, AL",1105,724.08
"Pickens, AL",1107,890.05
"Pike, AL",1109,672.1
"Randolph, AL",1111,584.11
"Russell, AL",1113,647.38
"St. Clair, AL",1115,653.61
"Shelby, AL",1117,809.53
"Sumter, AL",1119,913.3
"Talladega, AL",1121,760.25
"Tallapoosa, AL",1123,766.23
"Tuscaloosa, AL",1125,1351.23
"Walker, AL",1127,805.3
"Washington, AL",1129,1088.54
"Wilcox, AL",1131,907.46
"Winston, AL",1133,631.86
ALASKA,2000,663267.26
"Aleutians East, AK",2013,15011.6
"Aleutians West, AK",2016,14116.51
